Timestamp,age,gender,English Sci-Fi movies:,English Thriller Movies:,English Romantic Comedy Movies:,English Action Movies:,English Horror Movies:,English Animated Movies:,Telugu Movies:,Hindi Movies
09-07-2020 15:43,16-20,Female,Avengers: Endgame,Parasite,Titanic,The Godfather,Rosemary’s baby,Frozen,Mahanati,Taare Zameen Par
09-07-2020 15:44,16-20,Female,Avengers: Endgame,Parasite,The Perks of Being a Wallflower,The Shawshank Redemption,The Shining,Spirited Away,Bommarillu,Gangs of Wasseypur
09-07-2020 15:45,16-20,Male,Interstellar,Joker,Titanic,Inception,Alien,The Lion King,Arjun Reddy,3 idiots
09-07-2020 15:46,16-20,Male,Black Panther,The Dark Knight,Titanic,The Dark Knight,The Shining,The Lion King,Arjun Reddy,3 idiots
09-07-2020 15:46,16-20,Female,Black Panther,Inception,"Crazy, Stupid Love",The Shawshank Redemption,The Exorcist-1973,The Lion King,Baahubali,Zindagi Na Milegi Dobara
09-07-2020 15:49,16-20,Male,The Matrix,Inception,"Crazy, Stupid Love",Inception,The Exorcist-1973,Toy Story,,Anand
09-07-2020 15:49,16-20,Male,Interstellar,Parasite,500 Days of Summer,The Dark Knight,Don't breathe,Coco,Athadu,Munna Bhai M.B.B.S
09-07-2020 15:55,16-20,Male,Avengers- Infinity War,Parasite,Titanic,Forrest Gump-1994,The Thing,Spirited Away,,3 idiots
09-07-2020 15:56,26-30,Male,Jurassic Park-1993,Joker,Titanic,Inception,Rosemary’s baby,Finding Nemo,Ismart Shankar,3 idiots
09-07-2020 15:56,16-20,Male,Avengers- Infinity War,Interstellar,The Notebook,Inception,Whatever Happened To Baby Jane,Finding Nemo,Bommarillu,Rang De Basanti
09-07-2020 15:56,16-20,Male,Avengers: Endgame,The Dark Knight,Spiderman FFH,The Dark Knight,The Nun,Spider-Man: Into the Spider-Verse,Arjun Reddy,Dangal
09-07-2020 15:57,16-20,Male,Avengers- Infinity War,Joker,The Perks of Being a Wallflower,The Dark Knight,Rosemary’s baby,Finding Nemo,Kick,3 idiots
09-07-2020 15:57,16-20,Female,Avengers- Infinity War,Jurassic Park,Titanic,,Alien,Toy Story,Baahubali,Taare Zameen Par
09-07-2020 15:59,16-20,Female,The Matrix,Jurassic Park,The Perks of Being a Wallflower,The Godfather,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Kick,Zindagi Na Milegi Dobara
09-07-2020 16:00,21-25,Male,Interstellar,Jurassic Park,500 Days of Summer,Inception,Let The Right One In,The Lion King,Disco raja ,Black Friday
09-07-2020 16:01,16-20,Male,Avengers: Endgame,the dark knight rises,Wolf of wall street,Fight Club,The Exorcist-1973,Up,Evadu,3 idiots
09-07-2020 16:02,16-20,Male,The Matrix,Inception,The Perks of Being a Wallflower,The Dark Knight,Psycho,Cars,Kshanam,My Name Is Khan
09-07-2020 16:02,16-20,Female,Jurassic Park-1993,The Silence of the Lambs,Silver Linings Playbook,Pulp Fiction,Psycho,Up,Mahanati,Zindagi Na Milegi Dobara
09-07-2020 16:02,16-20,Male,Interstellar,Mad Max : Fury Road,The Notebook,The Godfather,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Baahubali,The Lunchbox
09-07-2020 16:04,16-20,Female,Jurassic Park-1993,Parasite,Titanic,The Lord of the Rings: Return of the King,The Conguring ,Frozen,Bommarillu,Taare Zameen Par
09-07-2020 16:07,16-20,Female,Avengers- Infinity War,Parasite,The Notebook,The Godfather,The Exorcist-1973,Up,Manmadhudu,Zindagi Na Milegi Dobara
09-07-2020 16:08,16-20,Female,Avengers: Endgame,Jurassic Park,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Maya Bazar,3 idiots
09-07-2020 16:09,16-20,Female,Avengers: Endgame,Joker,Titanic,,Whatever Happened To Baby Jane,Frozen,Maya Bazar,Kal Ho Na Ho
09-07-2020 16:09,16-20,Male,Interstellar,Jurassic Park,Titanic,The Dark Knight,Insidious ,Wall-E,Jalsa,3 idiots
09-07-2020 16:10,16-20,Female,The Suicide Squad,Parasite,Titanic,Inception,The Exorcist-1973,Finding Nemo,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 16:11,16-20,Female,Avengers- Infinity War,Jurassic Park,Titanic,The Lord of the Rings: Return of the King,Psycho,Finding Nemo,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 16:11,16-20,Female,Interstellar,The Prestige,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Jersey,Taare Zameen Par
09-07-2020 16:13,16-20,Female,Avengers: Endgame,Joker,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Jersey,Taare Zameen Par
09-07-2020 16:14,16-20,Male,Black Panther,The Prestige,"Crazy, Stupid Love",MCU movies,The Shining,Cars,Baahubali,3 idiots
09-07-2020 16:15,16-20,Male,Avengers: Endgame,Joker,Titanic,The Dark Knight,Psycho,The Lion King,Maya Bazar,3 idiots
09-07-2020 16:15,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Dark Knight,The Exorcist-1973,Finding Nemo,Manmadhudu,Zindagi Na Milegi Dobara
09-07-2020 16:15,16-20,Female,The Prestige,The Silence of the Lambs,"Crazy, Stupid Love",The Shawshank Redemption,Psycho,Mulan,Oopiri,3 idiots
09-07-2020 16:16,16-20,Male,Inception,The Dark Knight,The Perks of Being a Wallflower,Fight Club,Psycho,Toy Story,Arjun Reddy,Zindagi Na Milegi Dobara
09-07-2020 16:16,16-20,Male,Avengers: Endgame,Joker,The Notebook,The Dark Knight,Let The Right One In,The Lion King,Jersey,Zindagi Na Milegi Dobara
09-07-2020 16:17,16-20,Female,Interstellar,Parasite,Titanic,The Shawshank Redemption,The Exorcist-1973,Frozen,Baahubali,3 idiots
09-07-2020 16:18,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Godfather,Psycho,The Lion King,Murari,Sanam Teri kasam
09-07-2020 16:20,16-20,Male,Avengers: Endgame,Mad Max : Fury Road,Titanic,Fight Club,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Arjun Reddy,Gangs of Wasseypur
09-07-2020 16:20,16-20,Female,Avengers: Endgame,Joker,Titanic,Forrest Gump-1994,The Exorcist-1973,Spirited Away,Arjun Reddy,Munna Bhai M.B.B.S
09-07-2020 16:20,16-20,Male,Inception,Parasite,Titanic,The Dark Knight,The Shining,Toy Story,Arjun Reddy,3 idiots
09-07-2020 16:21,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Dark Knight,Whatever Happened To Baby Jane,Spider-Man: Into the Spider-Verse,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 16:21,16-20,Male,Jurassic Park-1993,Joker,The Notebook,The Dark Knight,The Exorcist-1973,Toy Story,Baahubali,Munna Bhai M.B.B.S
09-07-2020 16:21,16-20,Male,Jurassic Park-1993,Jurassic Park,Titanic,Fast and Furious ,Alien,Cars,None,3 idiots
